 set xrange [0:50.006]
 set xlabel "Time (s)"
 p 'Results.dat' u 1:2 w l t "X Position", '' u 1:3 w l t "Velocity"
 3.585  1.27942  0.00465
 3.590  1.27937 -0.02577
 3.595  1.27916 -0.05620
 3.600  1.27881 -0.08664
 3.605  1.27830 -0.11710
 3.610  1.27763 -0.14756
 3.615  1.27682 -0.17802
 3.620  1.27585 -0.20848
 3.625  1.27474 -0.23893
 3.630  1.27346 -0.26937
 3.635  1.27204 -0.29980
 3.640  1.27047 -0.33022
 3.645  1.26874 -0.36061
 3.650  1.26686 -0.39098
 3.655  1.26483 -0.42133
 3.660  1.26265 -0.45164
 3.665  1.26031 -0.48191
 3.670  1.25783 -0.51215
 3.675  1.25519 -0.54235
 3.680  1.25240 -0.57250
 3.685  1.24947 -0.60260
 3.690  1.24638 -0.63264
 3.695  1.24314 -0.66263
 3.700  1.23975 -0.69256
 3.705  1.23621 -0.72243
 3.710  1.23253 -0.75223
 3.715  1.22869 -0.78195
 3.720  1.22471 -0.81161
 3.725  1.22058 -0.84118
 3.730  1.21630 -0.87067
 3.735  1.21187 -0.90007
 3.740  1.20730 -0.92939
 3.745  1.20258 -0.95861
 3.750  1.19771 -0.98774
 3.755  1.19270 -1.01677
 3.760  1.18754 -1.04569
 3.765  1.18224 -1.07450
 3.770  1.17680 -1.10321
 3.775  1.17121 -1.13180
 3.780  1.16548 -1.16027
 3.785  1.15961 -1.18863
 3.790  1.15359 -1.21685
 3.795  1.14744 -1.24495
 3.800  1.14114 -1.27292
 3.805  1.13471 -1.30075
 3.810  1.12814 -1.32845
 3.815  1.12142 -1.35600
 3.820  1.11458 -1.38341
 3.825  1.10759 -1.41067
 3.830  1.10047 -1.43778
 3.835  1.09321 -1.46473
 3.840  1.08582 -1.49152
 3.845  1.07830 -1.51816
 3.850  1.07064 -1.54462
 3.855  1.06285 -1.57092
 3.860  1.05493 -1.59705
 3.865  1.04688 -1.62300
 3.870  1.03870 -1.64877
 3.875  1.03039 -1.67437
 3.880  1.02196 -1.69978
 3.885  1.01340 -1.72500
 3.890  1.00471 -1.75003
 3.895  0.99590 -1.77486
 3.900  0.98696 -1.79950
 3.905  0.97790 -1.82394
 3.910  0.96872 -1.84818
 3.915  0.95942 -1.87221
 3.920  0.95000 -1.89603
 3.925  0.94046 -1.91964
 3.930  0.93080 -1.94303
 3.935  0.92103 -1.96621
 3.940  0.91114 -1.98916
 3.945  0.90114 -2.01190
 3.950  0.89102 -2.03440
 3.955  0.88079 -2.05668
 3.960  0.87045 -2.07872
 3.965  0.86000 -2.10053
 3.970  0.84945 -2.12210
 3.975  0.83878 -2.14343
 3.980  0.82801 -2.16452
 3.985  0.81714 -2.18536
 3.990  0.80616 -2.20596
 3.995  0.79508 -2.22630
 4.000  0.78390 -2.24639
 4.005  0.77262 -2.26622
 4.010  0.76123 -2.28580
 4.015  0.74976 -2.30511
 4.020  0.73818 -2.32416
 4.025  0.72652 -2.34295
 4.030  0.71475 -2.36146
 4.035  0.70290 -2.37971
 4.040  0.69096 -2.39768
 4.045  0.67892 -2.41537
 4.050  0.66680 -2.43279
 4.055  0.65460 -2.44993
 4.060  0.64230 -2.46679
 4.065  0.62993 -2.48336
